workload,machines,thresTemp,envTemp,acPower
6400,119,22,25,22595.0045913604
6400,120,22,25,22870.5141295689
6400,121,22,25,23146.7089454433
6400,122,22,25,23422.2184836518
6400,123,22,25,23697.6423621521
6400,124,22,25,23812.5399474049
6400,125,22,25,23908.5067371361
6400,126,22,25,24004.3878671589
6400,127,22,25,24100.5259763065
6400,128,22,25,24206.1723130691
6400,129,22,25,24310.1054556668
6400,130,22,25,24413.7816191398
6400,131,22,25,24517.886081154
6400,132,22,25,24614.0241903016
6400,133,22,25,24717.7003537746
6400,134,22,25,24825.2312041185
6400,135,22,25,24928.5647287585
6400,136,22,25,25039.9502659734
6400,137,22,25,25136.088375121
6400,138,22,25,25242.0773507165
6400,139,22,25,25338.0441404477
6400,140,22,25,25434.096589887
6400,141,22,25,25548.8228557234
6400,142,22,25,25662.5212050608
6400,143,22,25,25760.2011889568
6400,144,22,25,25865.9331854276
6400,145,22,25,25968.8384115264
6400,146,22,25,26071.7436376252
6400,147,22,25,26174.648863724
6400,148,22,25,26285.2634635646
6400,149,22,25,26389.7962241201
6400,150,22,25,26494.7572832167
6400,151,22,25,26603.487369476
6400,152,22,25,26712.2174557353
6400,153,22,25,26816.7502162908
6400,154,22,25,26930.9625238776
6400,155,22,25,27042.7763596337
6400,156,22,25,27154.3332162651
6400,157,22,25,27249.9573671632
6400,158,22,25,27345.8384971861
6400,159,22,25,27443.0045228326
6400,160,22,25,27557.9877677937
6400,161,22,25,27669.9729229662
6400,162,22,25,27775.7905791453
6400,163,22,25,27953.391070832
6400,164,22,25,28080.1953555306
6400,165,22,25,28196.0351975741
6400,166,22,25,28538.4449679204
6400,167,22,25,28661.9085239976
6400,168,22,25,29004.4039540521
6400,169,22,25,29351.2680292271
6400,170,22,25,29694.1917578229
6400,171,22,25,30036.6015281692
6400,172,22,25,30214.2020198559
6400,173,22,25,30391.7168518344
6400,174,22,25,30569.3173435211
6400,175,22,25,30746.9178352079
6400,176,22,25,31005.3917372756
6400,177,22,25,31271.8149580587
6400,178,22,25,31538.3229943258
6400,179,22,25,31804.746215109
6400,180,22,25,31982.3676242335
6400,181,22,25,32159.904217874
6400,182,22,25,32432.9430464025
6400,183,22,25,32610.4796400431
6400,184,22,25,32788.1010491675
6400,185,22,25,32948.0935803045
6400,186,22,25,33108.7643435079
6400,187,22,25,33286.2758747638
6400,188,22,25,33447.9393237833
6400,189,22,25,33625.4791716909
6400,190,22,25,33788.2716771227
6400,191,22,25,33954.9264179232
6400,192,22,25,34132.5214290708
6400,193,22,25,34388.0435922255
6400,194,22,25,34500.6283653558
6400,195,22,25,34596.6808147951
6400,196,22,25,34709.4369073419
6400,197,22,25,34822.1929998886
6400,198,22,25,34937.1762448497
6400,199,22,25,35041.5759819513
6400,200,22,25,35139.2163897441
6400,201,22,25,35233.0397108305
6400,202,22,25,35335.897524736
6400,203,22,25,35441.6703534664
6400,204,22,25,35547.5264683346
6400,205,22,25,35662.3774860912
6400,206,22,25,35777.3117899857
6400,207,22,25,35954.8772695473
6400,208,22,25,36132.4427491088
6400,209,22,25,36310.0082286704
6400,210,22,25,36476.7288702723
12800,2,22,25,854.1383679789
12800,3,22,25,1038.6222951325
12800,4,22,25,1234.1464566608
12800,5,22,25,1420.1936394238
12800,6,22,25,1597.4876985202
12800,7,22,25,1758.0642802591
12800,8,22,25,1961.0466104698
12800,9,22,25,2137.8541090754
12800,10,22,25,2320.8649824367
12800,11,22,25,2462.7435966397
12800,12,22,25,2652.2654401232
12800,13,22,25,2853.1393685427
12800,14,22,25,2990.8898272648
12800,15,22,25,3141.4375472243
12800,16,22,25,3317.4135922864
12800,17,22,25,3469.3954222376
12800,18,22,25,3627.148617751
12800,19,22,25,3783.9095071807
12800,20,22,25,3908.0343922598
12800,21,22,25,3991.2644734031
12800,22,22,25,4088.3320968713
12800,23,22,25,4185.3298052087
12800,24,22,25,4281.5895204987
12800,25,22,25,4378.9368044901
12800,26,22,25,4476.7113476142
12800,27,22,25,4579.1468994582
12800,28,22,25,4682.2039191315
12800,29,22,25,4949.4449709658
12800,30,22,25,5053.2399836865
12800,31,22,25,5156.6854207531
12800,32,22,25,5276.2412158722
12800,33,22,25,5381.355830624
12800,34,22,25,5472.6926258958
12800,35,22,25,5741.3708220854
12800,36,22,25,6010.4374356684
12800,37,22,25,6122.273375377
12800,38,22,25,6207.0740906178
12800,39,22,25,6304.5767415665
12800,40,22,25,6573.6045134101
12800,41,22,25,6842.4380765571
12800,42,22,25,7111.9319492727
12800,43,22,25,7381.4258219883
12800,44,22,25,7479.8218329417
12800,45,22,25,7751.2966343633
12800,46,22,25,8036.5371146539
12800,47,22,25,8293.6636111165
12800,48,22,25,8584.656586627
12800,49,22,25,8846.8674331437
12800,50,22,25,8945.0692354004
12800,51,22,25,9058.0168044185
12800,52,22,25,9156.7465235614
12800,53,22,25,9253.8310548788
12800,54,22,25,9352.4432606056
12800,55,22,25,9446.7985667398
12800,56,22,25,9555.6041638345
12800,57,22,25,9659.7487522091
12800,58,22,25,9762.6504049251
12800,59,22,25,9994.5454739663
12800,60,22,25,10109.4103823969
12800,61,22,25,10224.2752908275
12800,62,22,25,10339.2955662155
12800,63,22,25,10571.928628304
12800,64,22,25,10806.1153599658
12800,65,22,25,10913.0565535725
12800,66,22,25,11022.9497193684
12800,67,22,25,11132.6098347284
12800,68,22,25,11366.2139403002
12800,69,22,25,11484.4192383135
12800,70,22,25,11603.9451554641
12800,71,22,25,11711.0805577674
12800,72,22,25,11927.1313684986
12800,73,22,25,12009.2377650732
12800,74,22,25,12091.5859241544
12800,75,22,25,12174.3688237169
12800,76,22,25,12274.1679012346
12800,77,22,25,12371.1213521877
12800,78,22,25,12471.3991182925
12800,79,22,25,12754.8003838772
12800,80,22,25,13007.3183663164
12800,81,22,25,13290.8943162678
12800,82,22,25,13545.179701307
12800,83,22,25,13844.3728395062
12800,84,22,25,14093.6838105684
12800,85,22,25,14352.0688081412
12800,86,22,25,14686.1495608835
12800,87,22,25,14943.3299330571
12800,88,22,25,15200.8740740741
12800,89,22,25,15458.6552156371
12800,90,22,25,15713.3658309219
12800,91,22,25,16001.6432684398
12800,92,22,25,16256.7815346371
12800,93,22,25,16542.3985663363
12800,94,22,25,16797.944417471
12800,95,22,25,17183.4275691292
12800,96,22,25,17435.5797762461
12800,97,22,25,17689.247820622
12800,98,22,25,17939.8502381479
12800,99,22,25,18195.5553076187
12800,100,22,25,18449.3185185185
12800,101,22,25,18703.3828587097
12800,102,22,25,18789.9832592103
12800,103,22,25,18914.2388264327
12800,104,22,25,19162.5341515993
12800,105,22,25,19433.1932764949
12800,106,22,25,19702.6483074712
12800,107,22,25,19977.0750810821
12800,108,22,25,20256.395913849
12800,109,22,25,20528.2202909246
12800,110,22,25,20805.1717775922
12800,111,22,25,21078.6663494591
12800,112,22,25,21350.1799926201
12800,113,22,25,21623.1696218757
12800,114,22,25,21894.6444232973
12800,115,22,25,22165.4977568896
12800,116,22,25,22437.5551844012
12800,117,22,25,22716.7206502107
12800,118,22,25,22994.5266551436
12800,119,22,25,23272.5268687732
12800,120,22,25,23551.8865432794
12800,121,22,25,23828.5272960323
12800,122,22,25,24108.3142296712
12800,123,22,25,24388.1400050494
12800,124,22,25,24505.0635256647
12800,125,22,25,24600.9736653007
12800,126,22,25,24696.8449631975
12800,127,22,25,24792.9881532695
12800,128,22,25,24901.5995416675
12800,129,22,25,25007.1035909188
12800,130,22,25,25110.8986036395
12800,131,22,25,25216.2472859335
12800,132,22,25,25312.3516342662
12800,133,22,25,25419.2928278728
12800,134,22,25,25526.0786545222
12800,135,22,25,25632.8644811715
12800,136,22,25,25741.5535530481
12800,137,22,25,25837.6967431202
12800,138,22,25,25946.5411819541
12800,139,22,25,26042.4513215902
12800,140,22,25,26138.5945116622
12800,141,22,25,26252.6437435668
12800,142,22,25,26368.1689615661
12800,143,22,25,26465.8269794721
12800,144,22,25,26573.3119574295
12800,145,22,25,26676.2524518848
12800,146,22,25,26779.1541046008
12800,147,22,25,26882.0557573168
12800,148,22,25,26996.1438309608
12800,149,22,25,27103.4734419607
12800,150,22,25,27211.307995572
12800,151,22,25,27318.0161387427
12800,152,22,25,27425.850692354
12800,153,22,25,27533.6852459653
12800,154,22,25,27647.5014274339
12800,155,22,25,27761.6283428172
12800,156,22,25,27874.8618981958
12800,157,22,25,27970.4613039172
12800,158,22,25,28066.3714435532
12800,159,22,25,28163.40799363
12800,160,22,25,28278.3117437999
12800,161,22,25,28391.8171913538
12800,162,22,25,28497.5931327805
12800,163,22,25,28675.187450234
12800,164,22,25,28801.3164630712
12800,165,22,25,28914.5888601892
12800,166,22,25,29278.5959497043
12800,167,22,25,29383.4284243848
12800,168,22,25,29904.5036769341
12800,169,22,25,30226.3124284257
12800,170,22,25,30549.1209244738
12800,171,22,25,30891.5381758151
12800,172,22,25,31069.1184482047
12800,173,22,25,31246.6987205943
12800,174,22,25,31424.2789929839
12800,175,22,25,31601.8592653735
12800,176,22,25,31853.6469842309
12800,177,22,25,32109.3086404736
12800,178,22,25,32365.1256657087
12800,179,22,25,32617.3882690469
12800,180,22,25,32772.0444444444
12800,181,22,25,32949.6518518518
12800,182,22,25,33212.6919189941
12800,183,22,25,33390.2339692115
12800,184,22,25,33567.8151905676
12800,185,22,25,33733.7646384805
12800,186,22,25,33922.3511681653
12800,187,22,25,34099.9454856188
12800,188,22,25,34490.3106804351
12800,189,22,25,34667.890439134
12800,190,22,25,34832.2032188931
12800,191,22,25,35000.3646490516
12800,192,22,25,35177.9725154601
12800,193,22,25,35262.7284358234
12800,194,22,25,35353.1239236701
12800,195,22,25,35449.2748450698
12800,196,22,25,35540.2133560394
12800,197,22,25,35625.6931811331
12800,198,22,25,35718.6066305387
12800,199,22,25,35811.1777777778
12800,200,22,25,35908.824691358
12800,201,22,25,36010.0967918837
12800,202,22,25,36112.9786517294
12800,203,22,25,36208.9382027927
12800,204,22,25,36314.7529859587
12800,205,22,25,36657.2338372808
12800,206,22,25,36772.1346875596
12800,207,22,25,36949.7144462586
12800,208,22,25,37127.2942049575
12800,209,22,25,37304.8315557346
12800,210,22,25,37475.8583014666
64000,2,22,25,856.4918226241
64000,3,22,25,1046.2210411327
64000,4,22,25,1241.1136794339
64000,5,22,25,1429.4628422585
64000,6,22,25,1624.188293431
64000,7,22,25,1814.866084144
64000,8,22,25,2000.7907409395
64000,9,22,25,2188.3020880573
64000,10,22,25,2394.0467413298
64000,11,22,25,2572.1784672401
64000,12,22,25,2761.078614791
64000,13,22,25,2963.312459163
64000,14,22,25,3145.0138787436
64000,15,22,25,3334.3852751966
64000,16,22,25,3534.2988834129
64000,17,22,25,3697.9617629562
64000,18,22,25,3917.1217724982
64000,19,22,25,4093.1035256275
64000,20,22,25,4272.5084626121
64000,21,22,25,4459.3466761599
64000,22,22,25,4651.3140431677
64000,23,22,25,4847.3999167888
64000,24,22,25,5050.1275761488
64000,25,22,25,5263.1674806241
64000,26,22,25,5389.9663229039
64000,27,22,25,5613.1650184283
64000,28,22,25,5853.8992004688
64000,29,22,25,6292.2033884229
64000,30,22,25,6429.5951635539
64000,31,22,25,6686.948011028
64000,32,22,25,6827.5796204318
64000,33,22,25,7103.9543389109
64000,34,22,25,7241.9601643838
64000,35,22,25,7728.8765874191
64000,36,22,25,8099.6952136003
64000,37,22,25,8377.2502859722
64000,38,22,25,8529.5048671485
64000,39,22,25,8676.1030777876
64000,40,22,25,9200.3472622968
64000,41,22,25,9574.750993389
64000,42,22,25,10104.4118371811
64000,43,22,25,10497.4036844327
64000,44,22,25,10650.6340796986
64000,45,22,25,11190.9902682066
64000,46,22,25,11584.3044473393
64000,47,22,25,11985.2312101199
64000,48,22,25,12566.5945444006
64000,49,22,25,12946.3546070818
64000,50,22,25,13092.8334065121
64000,51,22,25,13249.1757821607
64000,52,22,25,13420.0793736883
64000,53,22,25,13580.2604634004
64000,54,22,25,13763.3309788701
64000,55,22,25,14118.5922330097
64000,56,22,25,14330.3751195209
64000,57,22,25,14503.3618101307
64000,58,22,25,14655.458292544
64000,59,22,25,15042.0206212477
64000,60,22,25,15180.878548741
64000,61,22,25,15346.1551023912
64000,62,22,25,15542.8485516983
64000,63,22,25,15970.5249761789
64000,64,22,25,16363.8483560725
64000,65,22,25,16520.1775942832
64000,66,22,25,16723.9140510871
64000,67,22,25,16947.9682496452
64000,68,22,25,17309.7390241062
64000,69,22,25,17533.5623476192
64000,70,22,25,17769.3707850164
64000,71,22,25,17926.3972848112
64000,72,22,25,18142.2711905192
64000,73,22,25,18279.8204469561
64000,74,22,25,18439.201320383
64000,75,22,25,18526.9163085893
64000,76,22,25,18655.1208699289
64000,77,22,25,18775.0655218609
64000,78,22,25,18888.6983315065
64000,79,22,25,19209.6284927946
64000,80,22,25,19519.2995018919
64000,81,22,25,19777.6859244502
64000,82,22,25,20069.3629281696
64000,83,22,25,20355.2494214965
64000,84,22,25,20644.8664715848
64000,85,22,25,20991.1417322835
64000,86,22,25,21240.9327688819
64000,87,22,25,21537.3293486519
64000,88,22,25,21835.3361288419
64000,89,22,25,22119.3509773571
64000,90,22,25,22387.5895499779
64000,91,22,25,22665.008218944
64000,92,22,25,22958.4572371237
64000,93,22,25,23252.8442327778
64000,94,22,25,23496.7204393795
64000,95,22,25,23801.8442795454
64000,96,22,25,24104.661734227
64000,97,22,25,24328.821078717
64000,98,22,25,24609.0363637776
64000,99,22,25,24909.7331823735
64000,100,22,25,25172.185866213
64000,101,22,25,25466.4402191252
64000,102,22,25,25567.7714543181
64000,103,22,25,25705.1573573199
64000,104,22,25,25944.4798837851
64000,105,22,25,26249.0909161769
64000,106,22,25,26498.783325941
64000,107,22,25,26792.4009072911
64000,108,22,25,27078.0861770621
64000,109,22,25,27322.0958074064
64000,110,22,25,27612.3530281454
64000,111,22,25,27866.2127836429
64000,112,22,25,28146.7388038251
64000,113,22,25,28423.92442145
64000,114,22,25,28721.1760549681
64000,115,22,25,28995.3275984157
64000,116,22,25,29273.6811167916
64000,117,22,25,29544.1640914493
64000,118,22,25,29840.6596478123
64000,119,22,25,30121.6588541059
64000,120,22,25,30389.4709734555
64000,121,22,25,30698.927198466
64000,122,22,25,30981.416683555
64000,123,22,25,31237.4191039953
64000,124,22,25,31387.9315010834
64000,125,22,25,31485.5608768945
64000,126,22,25,31609.1656606617
64000,127,22,25,31780.6373772233
64000,128,22,25,31927.9107937526
64000,129,22,25,32004.4929305663
64000,130,22,25,32136.9445417124
64000,131,22,25,32511.605340392
64000,132,22,25,32589.6948828921
64000,133,22,25,32664.0229370142
64000,134,22,25,32748.3886767196
64000,135,22,25,32816.7446825179
64000,136,22,25,32866.654221725
64000,137,22,25,32983.3451490363
64000,138,22,25,33158.712784397
64000,139,22,25,33232.3636186786
64000,140,22,25,33338.5450604768
64000,141,22,25,33490.3413637743
64000,142,22,25,33633.1422835399
64000,143,22,25,33755.5558434687
64000,144,22,25,33901.2534023415
64000,145,22,25,33994.6340317105
64000,146,22,25,34150.6291486741
64000,147,22,25,34265.2083712678
64000,148,22,25,34400.9281851359
64000,149,22,25,34530.5006653127
64000,150,22,25,34668.5553494318
64000,151,22,25,34756.6935685598
64000,152,22,25,34906.1452949553
64000,153,22,25,35045.152212886
64000,154,22,25,35207.1406918451
64000,155,22,25,35286.6922286808
64000,156,22,25,35399.2655620033
64000,157,22,25,35552.6336539511
64000,158,22,25,35667.851092023
64000,159,22,25,35764.9855732194
64000,160,22,25,35873.253862826
64000,161,22,25,36018.8391577375
64000,162,22,25,36176.2968191259
64000,163,22,25,36323.8945848994
64000,164,22,25,36466.3064329124
64000,165,22,25,36573.0788024268
64000,166,22,25,36954.8454019674
64000,167,22,25,37055.903275925
64000,168,22,25,37416.3103703185
64000,169,22,25,37754.3474955451
64000,170,22,25,38070.0946965283
64000,171,22,25,38412.1462707901
64000,172,22,25,38583.4488957251
64000,173,22,25,38751.7218532243
64000,174,22,25,38935.627269261
64000,175,22,25,39083.7621089593
64000,176,22,25,39397.6491184311
64000,177,22,25,39645.3579357866
64000,178,22,25,39921.1452453642
64000,179,22,25,40215.8868968415
64000,180,22,25,40364.7394097586
64000,181,22,25,40529.2835457985
64000,182,22,25,40813.7714387813
64000,183,22,25,41007.4469924724
64000,184,22,25,41216.8708203967
64000,185,22,25,41412.8189415692
64000,186,22,25,41585.8324050122
64000,187,22,25,41777.721231754
64000,188,22,25,41975.0479231241
64000,189,22,25,42189.5303203617
64000,190,22,25,42436.1394013812
64000,191,22,25,42564.5408486433
64000,192,22,25,42805.5749148028
64000,193,22,25,42872.2387484995
64000,194,22,25,42986.7962742489
64000,195,22,25,43090.8892850762
64000,196,22,25,43335.4835044103
64000,197,22,25,43457.6315954405
64000,198,22,25,43570.0661784225
64000,199,22,25,43701.7415779382
64000,200,22,25,43785.7424627312
64000,201,22,25,43986.2638548385
64000,202,22,25,44075.0448444102
64000,203,22,25,45238.581021235
64000,204,22,25,45333.1187744047
64000,205,22,25,45429.1082829659
64000,206,22,25,45528.7109912386
64000,207,22,25,45696.8716873986
64000,208,22,25,45864.9777130396
64000,209,22,25,46054.1999831912
64000,210,22,25,46237.5018841381
